ID,Name,Label,Owner,Ownership,Proof,Shonai,Kodomo,Type,Address,Address2,Y,X,Url,Tel,Fax,Full,AgeS,AgeE,Open,Close,H24,Memo,Extra,Temp,Holiday,Night,Vacancy,VacancyDate,Remarks,Parking,Bus,Uniform,Smock,Lunch_u3,Lunch_o3,Trainingwear,Cost,Competition,OpeningDate,Playground,Playroom,Pool,Sakidori,Hoikuroom
1020,小中台保育所,,千葉市,公立,,N,N,認可保育施設,千葉市稲毛区小仲台9-30-2,,35.6478711,140.0970091,,043-252-0608,043-252-0608,90,0,5,7:00,19:00,N,,Y,N,N,N,Y,20180101,,0,,なし,なし,提供,持参,なし,,,19970731,Y,,Y,N,N
1021,大森保育所,,千葉市,公立,,N,N,認可保育施設,千葉市中央区大森町268,,35.580026,140.143491,,043-263-0266,043-263-0266,100,0,5,7:00,19:00,N,,Y,N,N,N,N,20180101,,8,,なし,なし,提供,持参,なし,,,19680424,Y,,Y,N,N
1022,誉田保育所,,千葉市,公立,,N,N,認可保育施設,千葉市緑区誉田町2-298,,35.5463936,140.2055039,,043-291-0575,043-291-0575,150,0,5,7:00,20:00,N,,Y,N,N,N,N,20180101,,5,,なし,なし,提供,持参,なし,,,20000920,Y,,Y,N,N
1023,稲毛海岸保育所,,千葉市,公立,,N,N,認可保育施設,千葉市美浜区稲毛海岸5-6-1,,35.6373052,140.0759699,,043-241-5620,043-241-5620,140,0,5,7:00,19:00,N,,Y,N,N,N,N,20180101,,5,,なし,なし,提供,持参,なし,,,19860226,Y,,Y,N,N
1024,花見川第一保育所,,千葉市,公立,,N,N,認可保育施設,千葉市花見川区花見川3-23-101,,35.6907412,140.0953608,,043-259-1280,043-257-8025,120,0,5,7:00,19:00,N,,Y,N,N,N,Y,20180101,,3,,なし,なし,提供,持参,なし,,,,Y,,Y,N,N
1025,幕張第二保育所,,千葉市,公立,,N,N,認可保育施設,千葉市花見川区幕張町4-636,,35.6616162,140.0577874,,043-273-7118,043-273-7118,130,0,5,7:00,20:00,N,,Y,N,N,N,N,20180101,,7,,なし,なし,提供,持参,なし,,,,Y,,Y,N,N
1026,小倉台保育所,,千葉市,公立,,N,N,認可保育施設,千葉市若葉区小倉台4-18-2,,35.6286304,140.1711593,,043-231-2183,043-231-2183,55,2,5,7:00,19:00,N,,Y,N,N,N,N,20180101,2歳以上,0,,なし,なし,提供,持参,なし,,,19690519,Y,,Y,N,N
1027,幸第一保育所,,千葉市,公立,,N,N,認可保育施設,千葉市美浜区幸町2-12-9,,35.6214607,140.0933104,,043-241-0825,043-241-0825,200,0,5,7:00,20:00,N,,Y,N,N,N,N,20180101,,0,,なし,なし,提供,持参,なし,,,19691001,Y,,Y,N,N
1028,花見川第二保育所,,千葉市,公立,,N,N,認可保育施設,千葉市花見川区花見川2-41-101,,35.6876637,140.0940333,,043-259-5364,043-259-5364,155,0,5,7:00,20:00,N,,Y,N,N,N,N,20180101,,5,,なし,なし,提供,持参,なし,,,19691027,Y,,Y,N,N
1031,千城台西保育所,,千葉市,公立,,N,N,認可保育施設,千葉市若葉区千城台西3-8-1,,35.6185671,140.18145,,043-237-1688,043-237-1688,110,0,5,7:00,19:00,N,,Y,N,N,N,Y,20180101,,24,,なし,なし,提供,持参,なし,,,19710331,Y,,Y,N,N
1032,大宮台保育所,,千葉市,公立,,N,N,認可保育施設,千葉市若葉区大宮台7-8-2,,35.5962272,140.1811954,,043-263-4284,043-263-4284,90,0,5,7:00,19:00,N,,Y,N,N,N,Y,20180101,,0,,なし,なし,提供,持参,なし,,,19710522,Y,,Y,N,N
1033,蘇我保育所,,千葉市,公立,,N,N,認可保育施設,千葉市中央区蘇我2-3-18,,35.5724932,140.1311081,,043-263-4902,043-263-4902,70,0,5,7:00,19:00,N,,Y,N,N,N,N,20180101,,5,,なし,なし,提供,持参,なし,,,,Y,,Y,N,N
1034,天台保育所,,千葉市,公立,,N,N,認可保育施設,千葉市稲毛区天台1-10-6,,35.6310051,140.114541,,043-253-1442,043-253-1442,90,0,5,7:00,19:00,N,,Y,N,N,N,N,20180101,,0,,なし,なし,提供,持参,なし,,,19730331,Y,,Y,N,N
1036,千城台東第一保育所,,千葉市,公立,,N,N,認可保育施設,千葉市若葉区千城台東2-8-1,,35.6192503,140.193457,,043-237-1402,043-237-1402,180,0,5,7:00,20:00,N,,Y,N,N,N,N,20180101,,6,,なし,なし,提供,持参,なし,,,19720401,Y,,Y,N,N
1037,坂月保育所,,千葉市,公立,,N,N,認可保育施設,千葉市若葉区坂月町294-1,,35.6126258,140.180878,,043-236-5591,043-236-5591,70,0,5,7:00,19:00,N,,Y,N,N,N,N,20180101,,10,,なし,なし,提供,持参,なし,,,,Y,,Y,N,N
1038,あやめ台第二保育所,,千葉市,公立,,N,N,認可保育施設,千葉市稲毛区あやめ台3-19,,35.648405,140.1115298,,043-254-6130,043-254-6130,90,0,5,7:00,19:00,N,,Y,N,N,N,Y,20180101,,3,,なし,なし,提供,持参,なし,,,19720804,Y,,Y,N,N
1039,花見川第三保育所,,千葉市,公立,,N,N,認可保育施設,千葉市花見川区花見川4-2,,35.695513,140.0990741,,043-259-3542,043-259-3542,100,0,5,7:00,19:00,N,,Y,Y,N,N,Y,20180101,,5,,なし,なし,提供,持参,なし,,,19720930,Y,,Y,N,N
1040,高洲第一保育所,,千葉市,公立,,N,N,認可保育施設,千葉市美浜区高洲2-2-21,,35.6245791,140.0788449,,043-242-8944,043-242-8944,110,0,5,7:00,19:00,N,,Y,N,N,N,Y,20180101,,0,,なし,なし,提供,持参,なし,,,19720831,Y,,Y,N,N
1041,高洲第二保育所,,千葉市,公立,,N,N,認可保育施設,千葉市美浜区高洲2-3-19,,35.6220961,140.0773923,,043-245-0631,043-245-0631,80,0,5,7:00,19:00,N,,Y,N,N,N,Y,20180101,,0,,なし,なし,提供,持参,なし,,,19720831,Y,,Y,N,N
1042,さつきが丘第一保育所,,千葉市,公立,,N,N,認可保育施設,千葉市花見川区さつきが丘2-32-1,,35.6664852,140.092698,,043-259-7567,043-259-7567,150,0,5,7:00,19:00,N,,Y,N,N,N,Y,20180101,,3,,なし,なし,提供,持参,なし,,,19730402,Y,,Y,N,N
1043,弁天保育所,,千葉市,公立,,N,N,認可保育施設,千葉市中央区弁天3-8-10,,35.6187517,140.114767,,043-254-4472,043-255-4712,90,0,5,7:00,19:00,N,,Y,Y,N,N,N,20180101,,5,N,なし,なし,提供,持参,なし,,,19730331,Y,261.35,Y,N,N
1044,小深保育所,,千葉市,公立,,N,N,認可保育施設,千葉市稲毛区小深町261-7,,35.6608751,140.1502411,,043-423-0062,043-423-0062,80,0,5,7:00,19:00,N,,Y,N,N,N,N,20180101,,5,,なし,なし,提供,持参,なし,,,19730331,Y,,Y,N,N
1045,こてはし台保育所,,千葉市,公立,,N,N,認可保育施設,千葉市花見川区こてはし台5-12,,35.690509,140.120125,,043-257-4512,043-257-4512,150,0,5,7:00,19:00,N,,Y,N,N,N,Y,20180101,,15,,なし,なし,提供,持参,なし,,,19800331,Y,,Y,N,N
1046,西小中台保育所,,千葉市,公立,,N,N,認可保育施設,千葉市花見川区西小中台5-20,,35.6518535,140.0873767,,043-271-1955,043-271-1955,100,0,5,7:00,19:00,N,,Y,N,N,N,N,20180101,,4,,なし,なし,提供,持参,なし,,,,Y,,Y,N,N
1047,浜野保育所,,千葉市,公立,,N,N,認可保育施設,千葉市中央区浜野町1346-5,,35.559414,140.1295059,,043-265-4165,043-265-4165,120,0,5,7:00,19:00,N,,Y,N,N,N,Y,20180101,,0,,なし,なし,提供,持参,なし,,,19740330,Y,,Y,N,N
1048,桜木保育所,,千葉市,公立,,N,N,認可保育施設,千葉市若葉区桜木1-40-1,,35.6176731,140.1564753,,043-232-1633,043-232-1633,140,0,5,7:00,19:00,N,,Y,N,N,N,N,20180101,,10,,なし,なし,提供,持参,なし,,,19740330,Y,,Y,N,N
1049,真砂第一保育所,,千葉市,公立,,N,N,認可保育施設,千葉市美浜区真砂2-22-13,,35.6408742,140.0684065,,043-277-5918,043-277-5918,95,0,5,7:00,19:00,N,,Y,Y,N,N,N,20180101,,4,,なし,なし,提供,持参,なし,,,19740902,Y,,Y,N,N
1050,真砂第二保育所,,千葉市,公立,,N,N,認可保育施設,千葉市美浜区真砂5-19-1,,35.6455459,140.0643568,,043-277-5919,043-277-5919,110,0,5,7:00,19:00,N,,Y,N,N,N,N,20180101,,5,,なし,なし,提供,持参,なし,,,19740902,Y,,Y,N,N
1051,黒砂保育所,,千葉市,公立,,N,N,認可保育施設,千葉市稲毛区黒砂2-4-24,,35.6268377,140.0936046,,043-246-1161,043-246-1161,90,0,5,7:00,19:00,N,,Y,Y,N,N,N,20180101,,6,,なし,なし,提供,持参,なし,,,19740918,Y,,Y,N,N
1052,園生保育所,,千葉市,公立,,N,N,認可保育施設,千葉市稲毛区園生町1325-1,,35.6524857,140.1239452,,043-252-2818,043-252-2818,110,0,5,7:00,19:00,N,,Y,N,N,N,Y,20180101,,3,,なし,なし,提供,持参,なし,,,19740910,Y,,Y,N,N
1053,高洲第三保育所,,千葉市,公立,,N,N,認可保育施設,千葉市美浜区高洲3-2-14,,35.6271621,140.0756451,,043-278-3390,043-278-3390,150,0,5,7:00,20:00,N,,Y,N,N,N,N,20180101,,4,,なし,なし,提供,持参,なし,,,19940101,Y,,Y,N,N
1054,川戸保育所,,千葉市,公立,,N,N,認可保育施設,千葉市中央区川戸町424-1,,35.5832983,140.1644272,,043-265-0570,043-265-0570,90,0,5,7:00,19:00,N,,Y,N,N,N,N,20180101,,9,,なし,なし,提供,持参,なし,,,19750528,Y,,Y,N,N
1055,真砂第三保育所,,千葉市,公立,,N,N,認可保育施設,千葉市美浜区真砂5-44-1,,35.6436767,140.0598989,,043-278-3993,043-278-3993,125,0,5,7:00,19:00,N,,Y,N,N,N,N,20180101,,0,,なし,なし,提供,持参,なし,,,19750610,Y,,Y,N,N
1056,宮野木保育所,,千葉市,公立,,N,N,認可保育施設,千葉市稲毛区園生町238-56,,35.6523402,140.1017391,,043-255-4661,043-255-4661,150,0,5,7:00,20:00,N,,Y,N,N,N,N,20180101,,0,,なし,なし,提供,持参,なし,,,19760219,Y,,Y,N,N
1057,千城台東認定こども園,,千葉市,公立,,N,Y,認可保育施設,千葉市若葉区千城台東4-33-1,,35.6186255,140.2000369,,043-236-0431,043-236-0431,116,0,5,7:00,19:00,N,,Y,N,N,N,N,20180101,,0,,なし,なし,提供,持参,なし,,,19760327,Y,,Y,N,N
1058,高浜第一保育所,,千葉市,公立,,N,N,認可保育施設,千葉市美浜区高浜1-4-3,,35.6195491,140.0749508,,043-246-1955,043-246-1955,90,0,5,7:00,19:00,N,,Y,N,N,N,Y,20180101,,0,,なし,なし,提供,持参,なし,,,19760326,Y,,Y,N,N
1059,幸認定こども園,,千葉市,公立,,N,Y,認可保育施設,千葉市美浜区幸町1-17-6,,35.6154205,140.099549,,043-247-7346,043-247-7346,116,0,5,7:00,19:00,N,,Y,N,N,N,N,20180101,,3,,なし,なし,提供,持参,なし,,,19770331,Y,,Y,N,N
1060,都賀の台保育所,,千葉市,公立,,N,N,認可保育施設,千葉市若葉区都賀の台3-6-1,,35.6437248,140.1440667,,043-256-1956,043-256-1956,115,0,5,7:00,20:00,N,,Y,N,N,N,N,20180101,,2,,なし,なし,提供,持参,なし,,,19780331,Y,,Y,N,N
1061,幕張第三保育所,,千葉市,公立,,N,N,認可保育施設,千葉市花見川区幕張町3-7730-5,,35.6565555,140.0482078,,043-272-5490,043-272-5490,150,0,5,7:00,19:00,N,,Y,N,N,N,N,20180101,,2,,なし,なし,提供,持参,なし,,,19790331,Y,,Y,N,N
1062,さつきが丘第二保育所,,千葉市,公立,,N,N,認可保育施設,千葉市花見川区さつきが丘1-32-1,,35.6652049,140.0963422,,043-250-7121,043-250-7121,90,0,5,7:00,19:00,N,,Y,N,N,N,N,20180101,,15,,なし,なし,提供,持参,なし,,,19800331,Y,,Y,N,N
1063,多部田保育所,,千葉市,公立,,N,N,認可保育施設,千葉市若葉区多部田町754-39,,35.5977548,140.1950719,,043-228-4660,043-228-4660,70,0,5,7:00,19:00,N,,Y,N,N,N,N,20180101,,0,,なし,なし,提供,持参,なし,,,19800331,Y,,Y,N,N
1064,磯辺保育所,,千葉市,公立,,N,N,認可保育施設,千葉市美浜区磯辺1-3-1,,35.6298505,140.0663653,,043-277-3661,043-277-3661,80,0,5,7:00,19:00,N,,Y,N,N,N,N,20180101,,0,,なし,なし,提供,持参,なし,,,19810304,Y,,Y,N,N
3002,院内保育園,,,私立,,N,N,認可保育施設,千葉市中央区院内2-5-6,,35.6142337,140.1255304,http://www.innai-hoikuen.com/,043-222-7234,043-227-2268,90,0,5,7:00,20:00,N,,Y,N,N,N,N,20180101,,0,,なし,指定,提供,持参,指定（3歳以上）,,,,Y,,,N,N
3003,旭ヶ丘保育園,,,私立,,N,N,認可保育施設,千葉市若葉区都賀１－1－1,,35.6316488,140.1436338,http://www.c-bethany-home.com/asahigaokahoikuen/,043-231-5047,043-231-5812,120,0,5,7:00,20:00,N,,Y,Y,N,N,N,20180101,,3～4,,なし,なし,提供,持参,なし,,,,Y,,,N,N
3004,稲毛保育園,,,私立,,N,N,認可保育施設,千葉市稲毛区小仲台2-10-1,,35.6380722,140.0945652,,043-251-8196,043-251-8195,140,0,5,7:00,20:00,N,,Y,Y,N,N,N,20180101,,0,,なし,なし,提供,持参,なし,,,,Y,,,N,N
3005,みどり保育園,,,私立,,N,N,認可保育施設,千葉市花見川区幕張町2-972,,35.6623993,140.0488437,,043-272-3610,043-272-1122,90,0,5,7:00,20:00,N,,Y,N,N,N,N,20180101,,6,,なし,なし,提供,持参,指定（3歳以上）,,,,Y,,,N,N
3006,ちどり保育園,,,私立,,N,N,認可保育施設,千葉市花見川区検見川町3-331-4,,35.646268,140.0694924,http://www.kit.hi-ho.ne.jp/ti-dori/,043-271-7828,043-271-7828,120,0,5,7:00,20:00,N,,Y,N,N,N,N,20180101,,0,,なし,指定（4歳以上希望者）,提供,提供（無料）,指定（4歳以上希望者）,,,,Y,,,N,N
3007,今井保育園,,,私立,,N,N,認可保育施設,千葉市中央区今井2-12-7,,35.5801815,140.1289196,http://www.imaihoikuen.or.jp/,043-261-5627,043-263-5600,120,0,5,7:00,20:00,N,,Y,Y,N,N,N,20180101,,9,,指定（3歳以上）,なし,提供,持参,指定（3歳以上）,,,,Y,,,N,N
3008,若竹保育園,,,私立,,N,N,認可保育施設,千葉市若葉区若松町336,,35.641925,140.173917,http://wkhoikuen.net/,043-231-2114,043-233-9575,150,0,5,7:00,20:00,N,,Y,Y,N,N,N,20180101,,33,,なし,なし,提供,提供,指定（3歳以上）,,,,Y,,,N,N
3009,千葉寺保育園,,,私立,,N,N,認可保育施設,千葉市中央区末広4-17-3,,35.5903253,140.1309084,,043-264-7952,043-264-7958,159,0,5,7:00,20:00,N,,Y,Y,Y,N,N,20180101,,5,,なし,指定,提供,持参,指定（3歳以上）,,,,Y,,,N,N
3010,慈光保育園,,,私立,,N,N,認可保育施設,千葉市中央区大巌寺町457-5,,35.573788,140.1469725,,043-263-7965,043-262-8234,90,0,5,7:00,20:00,N,,Y,Y,N,N,N,20180101,,16,,指定,なし,提供,提供,指定,,,,Y,,,N,N
3011,若梅保育園,,,私立,,N,N,認可保育施設,千葉市美浜区高洲4-5-9,,35.631783,140.071182,http://www.wakaume.jp/,043-278-0260,043-277-2035,135,0,5,7:00,20:00,N,,Y,N,N,N,N,20180101,,3,,なし,なし,提供,持参,指定（4、5歳）,,,,Y,,,N,N
3012,チューリップ保育園,,,私立,,N,N,認可保育施設,千葉市美浜区真砂3-15-14,,35.6384468,140.0645625,http://www.tulip-ns.jp/,043-279-4863,043-279-4873,135,0,5,7:00,20:00,N,,Y,N,N,N,N,20180101,,5,,なし,なし,提供,持参,指定,,,,Y,,,N,N
3013,幕張海浜保育園,,,私立,,N,Y,認可保育施設,千葉市美浜区幕張西2-7-2,,35.6655541,140.0377974,http://www.ainosono.or.jp/makuhari/,043-273-2266,043-273-2267,143,0,5,7:00,20:00,N,,Y,Y,N,N,N,20180101,,5,,指定（3歳以上）,指定,提供,提供,指定（3歳以上）,,,,Y,,,N,N
3014,みつわ台保育園,,,私立,,N,N,認可保育施設,千葉市若葉区みつわ台5-8-8,,35.6472401,140.1341921,http://www.mitsuwadai.or.jp/,043-255-7041,043-255-7510,120,0,5,7:00,20:00,N,,Y,N,N,N,N,20180101,,4,,なし,なし,提供,持参,指定（3歳以上）,,,,Y,,,N,N
3015,まどか保育園,,,私立,,N,N,認可保育施設,千葉市美浜区高洲1-15-2,,35.6299701,140.0777199,http://takasufukushikai.or.jp/,043-277-2551,043-277-2181,90,0,5,7:00,20:00,N,,Y,N,N,N,N,20180101,,0,,なし,なし,提供,提供,指定（3歳以上）,,,,Y,,,N,N
3016,わかくさ保育園,,,私立,,N,N,認可保育施設,千葉市緑区大椎町1199-2,,35.5293631,140.2565679,,043-294-5476,043-295-1900,110,0,5,7:00,20:00,N,,Y,N,N,N,N,20180101,,7,,なし,指定（2歳以上）,提供,提供,指定（2歳以上）,,,,Y,,,N,N
3017,たいよう保育園,,,私立,,N,N,認可保育施設,千葉市若葉区みつわ台3-12-1,,35.6395414,140.135631,http://www.kosodate-web.com/taiyohoikuen/,043-255-3626,043-255-3663,110,0,5,7:00,20:00,N,,Y,N,N,N,N,20180101,,4,,なし,指定（3歳以上）,提供,提供,指定（3歳以上）,,,,Y,,,N,N
3018,松ヶ丘保育園,,,私立,,N,N,認可保育施設,千葉市中央区松ケ丘町563-1,,35.5858621,140.1547665,,043-265-7568,043-265-7625,90,0,5,7:00,20:00,N,,Y,N,N,N,N,20180101,,5,,なし,なし,提供,持参,指定（3歳以上）,,,,Y,,,N,N
3019,作草部保育園,,,私立,,N,N,認可保育施設,千葉市稲毛区作草部町698-3,,35.6278452,140.1247154,http://www.fuyoufukushikai.com/index.php,043-256-1753,043-284-7373,90,0,5,7:00,20:00,N,,Y,N,N,N,N,20180101,,3,,指定（3歳以上）,なし,提供,持参,指定（3歳以上）,,,,Y,,,N,N
3020,すずらん保育園,,,私立,,N,N,認可保育施設,千葉市若葉区若松町2106-3,,35.6361576,140.1703675,,043-231-0380,043-231-0397,90,0,5,7:00,20:00,N,,Y,N,N,N,N,20180101,,30,,なし,指定（3歳以上）,提供,持参,指定（3歳以上）,,,,Y,,,N,N
3021,なぎさ保育園,,,私立,,N,N,認可保育施設,千葉市美浜区高浜4-4-1,,35.6224625,140.0700095,,043-277-3466,043-277-3708,90,0,5,7:00,20:00,N,,Y,N,N,N,N,20180101,,0,,なし,なし,提供,提供,指定（3歳以上）,,,,Y,,,N,N
3022,南小中台保育園,,,私立,,N,N,認可保育施設,千葉市稲毛区小仲台8-21-1,,35.6447711,140.0903183,http://minamikonakadaihoikuen.com/,043-256-1330,043-256-1330,120,0,5,7:00,20:00,N,,Y,N,N,N,Y,20180101,,0,,なし,指定,提供,提供,なし,,,,Y,,,N,N
3023,もみじ保育園,,,私立,,N,N,認可保育施設,千葉市美浜区磯辺5-14-5,,35.6339111,140.0596852,http://momiji-hoiku.jp/,043-277-5355,043-277-5355,120,0,5,7:00,20:00,N,,Y,N,N,N,N,20180101,,5,,なし,指定,提供,提供,指定,,,,Y,,,N,N
3024,おゆみ野保育園,,,私立,,N,N,認可保育施設,千葉市緑区おゆみ野2-7,,35.562477,140.17488,,043-291-8877,043-291-8321,90,0,5,7:00,20:00,N,,Y,Y,N,N,N,20180101,,4,,なし,なし,提供,持参,なし,,,,Y,,,N,N
3025,ナーセリー鏡戸,,,私立,,N,N,認可保育施設,千葉市緑区あすみが丘4-21-1,,35.524192,140.264345,,043-295-3686,043-295-3518,120,0,5,7:00,20:00,N,,Y,Y,N,N,N,20180101,,26,,なし,なし,提供,提供,指定（3歳以上）,,,,Y,,,N,N
3026,幼保連携型認定こども園打瀬保育園,,,私立,,N,Y,認可保育施設,千葉市美浜区打瀬1-3-5,,35.6430571,140.0481026,http://utase.hoikuen.to/,043-273-6631,043-273-6648,120,0,5,7:00,20:00,N,,Y,N,N,N,N,20180101,,4,,なし,なし,提供,提供,指定（3歳以上）,,,,Y,,,N,N
3027,ふたば保育園,,,私立,,N,N,認可保育施設,千葉市緑区刈田子町308-10,,35.5468908,140.1659256,,043-300-2211,043-292-0333,130,0,5,7:00,20:00,N,,Y,Y,N,N,N,20180101,,30,,なし,指定（希望者のみ）,提供,持参,指定（3歳以上）,,,,Y,,,N,N
3028,明和輝保育園,,,私立,,N,N,認可保育施設,千葉市緑区おゆみ野中央7-30,,35.548652,140.180339,http://meiwakagayaki.kenzenfukai.or.jp/,043-293-3900,043-300-3367,90,0,5,7:00,20:00,N,,Y,N,N,N,N,20180101,,12,,なし,なし,提供,提供,なし,,,,Y,,,N,N
3029,山王保育園,,,私立,,N,N,認可保育施設,千葉市稲毛区山王町153-16,,35.6649598,140.1401249,http://www.sannoukids.com/,043-304-1188,043-422-4188,45,0,5,7:00,20:00,N,,Y,N,N,N,N,20180101,,4,,なし,なし,提供,持参,なし,,,,Y,,,N,N
3030,チャイルド・ガーデン保育園,,,私立,,N,N,認可保育施設,千葉市稲毛区小仲台8-4-6 2F,,35.647149,140.086591,,043-206-8600,043-254-0705,110,0,5,7:00,20:00,N,,Y,N,N,N,Y,20180101,,3,,指定,指定,提供,提供,指定,,,,Y,,,N,N
3031,明徳土気保育園,,,私立,,N,N,認可保育施設,千葉市緑区土気町1626-5,,35.5327134,140.2697246,http://meitokutoke.com/,043-294-0110,043-294-2730,120,0,5,7:00,20:00,N,,Y,Y,N,N,N,20180101,,31,,なし,なし,提供,提供,なし,,,,Y,,,N,N
3032,グレース保育園,,,私立,,N,N,認可保育施設,千葉市緑区おゆみ野中央2-7-7,,35.5561788,140.1646445,http://www.kobato.ac.jp/pc/grace/,043-300-1221,043-300-1222,120,0,5,7:00,20:00,N,,Y,N,Y,N,N,20180101,,25,,なし,なし,提供,提供,指定（3歳以上）,,,,Y,,,N,N
3033,みらい保育園,,,私立,,N,N,認可保育施設,千葉市美浜区打瀬3-11-3,,35.6365633,140.0420837,http://www.tenyuukai.jp/mirai_main.html,043-213-2727,043-213-2007,120,0,5,7:00,20:00,N,,Y,Y,Y,N,N,20180101,,10,,なし,指定,提供,提供,指定（2歳以上）,,,,Y,,,N,N
